recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
107879619,"{'steamid': '76561198004450121', 'num_games_owned': 125, 'num_reviews': 58, 'playtime_forever': 15313, 'playtime_last_two_weeks': 107, 'playtime_at_review': 224, 'last_played': 1655353706}",koreana,라이즈 엘든링 선브 개씹 완벽 플랜 시간 후기 대부분은 야스노리 씨발새끼 때문에 일어난 문제점이라고 봄 씨발 빡빡이 새끼가 주인몹 계속 내면서 사후지원이나 끝까지 하지 이대로 방치를 해버리네 제일 불만인건 플레이어 이팩트가 너무 쌔서 몹이 안보여서 패턴도 안보임 이건 뭐 시발 모드로 고치라는거냐 이러한 문제점들을 뒤로 하고도 몬헌이라는 뼈대가 주는 재미는 정말이지 무서울 정도 잊지마라 대검의 낭만은 가드 태클 헌팅 엣지 다 결론만 말하겠습니다 자신이 멀,1642021111,1647312472,True,257,42,0.939532995223999023,0,True,False,False
111891995,"{'steamid': '76561199113269985', 'num_games_owned': 26, 'num_reviews': 24, 'playtime_forever': 1632, 'playtime_last_two_weeks': 0, 'playtime_at_review': 486, 'last_played': 1653656333}",koreana,재밌는데 게임하면서 계속 아이스본 하고 싶어짐,1646875909,1646900809,True,100,9,0.8904305100440979,0,True,False,False
108865398,"{'steamid': '76561198253530000', 'num_games_owned': 189, 'num_reviews': 25, 'playtime_forever': 19356, 'playtime_last_two_weeks': 1883, 'playtime_at_review': 4566, 'last_played': 1655188112}",koreana,월드 주세요,1643272206,1643292278,True,119,8,0.876441299915313721,1,False,False,False
107871660,"{'steamid': '76561198032514747', 'num_games_owned': 236, 'num_reviews': 9, 'playtime_forever': 4424, 'playtime_last_two_weeks': 174, 'playtime_at_review': 62, 'last_played': 1655376059}",koreana,스위치로 신나게 하고 없뎃이네 콜라보도 망했네 망겜이네 라고 하면서 판 까지 디럭스로 구입한 흑우들은 개추 좀 눌러볼까 일단 나부터,1642012262,1642012262,True,192,50,0.875844955444335938,0,True,False,False
107876855,"{'steamid': '76561197991667376', 'num_games_owned': 148, 'num_reviews': 84, 'playtime_forever': 153, 'playtime_last_two_weeks': 0, 'playtime_at_review': 30, 'last_played': 1642301911}",koreana,프레임이 안나온다 하시는분들은 그림자 품질만 고에서 중으로 내리세요 제 컴 기준 전부 풀옵이였을경우 프레임 그림자 옵션만 고에서 중으로 내릴경우,1642017974,1642018649,True,78,2,0.875203132629394531,3,True,False,False
107984078,"{'steamid': '76561198014628861', 'num_games_owned': 49, 'num_reviews': 24, 'playtime_forever': 4146, 'playtime_last_two_weeks': 0, 'playtime_at_review': 272, 'last_played': 1643427938}",koreana,진짜 키설정 만든놈 머리깨야됨,1642168979,1642168979,True,86,8,0.872596979141235352,0,True,False,False
110815295,"{'steamid': '76561198126541023', 'num_games_owned': 167, 'num_reviews': 12, 'playtime_forever': 6884, 'playtime_last_two_weeks': 5, 'playtime_at_review': 4329, 'last_played': 1655359324}",koreana,야스노리 미친 대머리년,1645604908,1645604990,True,95,17,0.85244452953338623,0,True,False,False
114108146,"{'steamid': '76561198974291354', 'num_games_owned': 82, 'num_reviews': 33, 'playtime_forever': 2436, 'playtime_last_two_weeks': 93, 'playtime_at_review': 2150, 'last_played': 1654785304}",koreana,재밌음 근데 월드가 그리움,1650343259,1650343259,True,62,1,0.842234909534454346,0,True,False,False
109468578,"{'steamid': '76561197993134529', 'num_games_owned': 165, 'num_reviews': 11, 'playtime_forever': 4137, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1807, 'last_played': 1645638271}",koreana,백룡야행 도저히 못 버티겠다 이런 애미뒤진 컨텐츠는 대체 어떤 병신이 생각한거냐,1643976083,1643976083,False,158,26,0.82054448127746582,0,False,False,False
110769591,"{'steamid': '76561198396651196', 'num_games_owned': 29, 'num_reviews': 3, 'playtime_forever': 24997, 'playtime_last_two_weeks': 0, 'playtime_at_review': 19034, 'last_played': 1646572445}",koreana,내가 년동안 건랜스 외길까지는 아니고 주력으로 써온 사람인데 이 들은 한번도 건랜스한테 전성기를 주지 않았어 라이즈 때는 와씨 건랜스 존나 할만해졌네 어어 막 날아다녀 왘 했는데 부터 포격 레벨이 여기가 끝인가 하다가 와서는 할말을 잃었다 이 들아 니들이 사람새끼냐 포격은 또 육질무시 쥐 딜에 쥐 같은 화속성으로 언제까지 갈건데 이럴거면 건랜스에 속성은 왜 달아놓냐 새끼들아 그리고 전건협은 무슨 얼어뒤질 전건협 건랜스는 이때까지 단 한번도 사기 무기였던,1645538998,1645538998,True,62,40,0.819154024124145508,0,True,False,False
